Login,Inloggen
Password must be at least 8 characters long,Wachtwoord moet minimaal 8 tekens lang zijn
Password reset successfully,Wachtwoord succesvol hersteld
Failed to reset password,Wachtwoord herstellen mislukt
Enter a new password for your account.,Voer een nieuw wachtwoord in voor je account.
Enter new password,Voer nieuw wachtwoord in
Confirm Password,Wachtwoord bevestigen
Confirm new password,Bevestig nieuw wachtwoord
Resetting...,Herstellen...
Reset Password,Wachtwoord herstellen
Invalid confirmation link,Ongeldige bevestigingslink
Email confirmed successfully!,E-mail succesvol bevestigd!
Confirming Email,E-mail bevestigen
Please wait while we confirm your email address...,Even geduld terwijl we je e-mailadres bevestigen...
Email Confirmed!,E-mail bevestigd!
Your email has been successfully confirmed. You are now logged in and will be redirected to the dashboard.,Je e-mail is succesvol bevestigd. Je bent nu ingelogd en wordt doorgestuurd naar het dashboard.
Go to Dashboard,Ga naar dashboard
Confirmation Failed,Bevestiging mislukt
Your confirmation link may have expired or been used already.,Je bevestigingslink is mogelijk verlopen of al gebruikt.
Create New Account,Nieuw account aanmaken
Try Logging In,Probeer in te loggen
Invalid Link,Ongeldige link
The confirmation link appears to be invalid or missing.,De bevestigingslink lijkt ongeldig of ontbreekt.
Go to Login,Ga naar inloggen
Failed to load API keys,API-sleutels laden mislukt
Please enter a valid name for the API key,Voer een geldige naam in voor de API-sleutel
Please enter a valid expiration duration,Voer een geldige verloopduur in
API key created successfully,API-sleutel succesvol aangemaakt
Name,Naam
Type,Type
API Key,API-sleutel
API Key copied to clipboard,API-sleutel gekopieerd naar klembord
Expires At,Verloopt op
Never,Nooit
Created At,Aangemaakt op
API key deleted successfully,API-sleutel succesvol verwijderd
Failed to delete API key,API-sleutel verwijderen mislukt
User Settings,Gebruikersinstellingen
API Key Creation Not Available,API-sleutel aanmaken niet beschikbaar
API key creation in the dashboard is disabled because JWT-based token flow with assertion is enabled for this team. Keys can only be created via the API using a signed JWT assertion. Contact support if you have any questions.,Het aanmaken van API-sleutels in het dashboard is uitgeschakeld omdat JWT-gebaseerde tokenflow met assertie is ingeschakeld voor dit team. Sleutels kunnen alleen via de API worden aangemaakt met een ondertekende JWT-assertie. Neem contact op met support als je vragen hebt.
The selected team could not be found. Try switching teams or contact support if the problem persists.,Het geselecteerde team kon niet worden gevonden. Probeer van team te wisselen of neem contact op met support als het probleem aanhoudt.
Could Not Verify API Key Creation,Kan API-sleutel aanmaken niet verifiëren
We could not determine whether API key creation is available for this team. Please refresh the page or contact support if the problem persists.,We konden niet bepalen of het aanmaken van API-sleutels beschikbaar is voor dit team. Vernieuw de pagina of neem contact op met support als het probleem aanhoudt.
New API Key Name,Nieuwe API-sleutelnaam
Basic Authentication,Basisauthenticatie
JWT Token,JWT-token
Create API Key,API-sleutel aanmaken
API Key Expiration in,API-sleutel verloopt over
Hours,Uren
Days,Dagen
Team ID,Team-ID
This is your unique team identifier,Dit is je unieke team-ID
Team ID copied to clipboard,Team-ID gekopieerd naar klembord
New API Key Created,Nieuwe API-sleutel aangemaakt
Please save these credentials. They will only be shown once.,Sla deze gegevens op. Ze worden slechts één keer getoond.
Secret,Secret
Secret copied to clipboard,Secret gekopieerd naar klembord
View Authorization Header,Autorisatieheader bekijken
Authorization Header,Autorisatieheader
Authorization header copied to clipboard,Autorisatieheader gekopieerd naar klembord
JWT token copied to clipboard,JWT-token gekopieerd naar klembord
Failed to load team members,Teamleden laden mislukt
Please enter a valid email address,Voer een geldig e-mailadres in
Team member added successfully,Teamlid succesvol toegevoegd
Failed to add team member,Teamlid toevoegen mislukt
No active team selected,Geen actief team geselecteerd
Failed to delete team,Team verwijderen mislukt
User ID,Gebruikers-ID
User ID copied to clipboard,Gebruikers-ID gekopieerd naar klembord
Verified,Geverifieerd
Unverified,Niet geverifieerd
Joined At,Lid sinds
Manage permissions,Machtigingen beheren
Remove team member,Teamlid verwijderen
Team member removed successfully,Teamlid succesvol verwijderd
Failed to remove team member,Teamlid verwijderen mislukt
Delete Team,Team verwijderen
Are you sure you want to delete the team "{0}"? This action cannot be undone. All team members\, API keys\, and associated data will be permanently removed.,Weet je zeker dat je het team "{0}" wilt verwijderen? Deze actie kan niet ongedaan worden gemaakt. Alle teamleden\, API-sleutels en bijbehorende gegevens worden permanent verwijderd.
Deleting...,Verwijderen...
Email address to invite,E-mailadres om uit te nodigen
Inviting...,Uitnodigen...
Invite Member,Lid uitnodigen
Team Name,Teamnaam
Failed to load permissions data,Machtigingsgegevens laden mislukt
Permission revoked,Machtiging ingetrokken
Permission granted,Machtiging verleend
Failed to update permission,Machtiging bijwerken mislukt
Member Permissions,Lidmachtigingen
Permissions for {0},Machtigingen voor {0}
Manage what this team member is allowed to do. Toggle permissions on or off instantly.,Beheer wat dit teamlid mag doen. Schakel machtigingen direct in of uit.
No permissions are available to manage.,Er zijn geen machtigingen beschikbaar om te beheren.
You must be in a team to complete this step,Je moet deel uitmaken van een team om deze stap te voltooien
Failed to complete step,Stap voltooien mislukt
Continue,Doorgaan
Please enter a team name,Voer een teamnaam in
Team created successfully,Team succesvol aangemaakt
Failed to create team,Team aanmaken mislukt
Team name updated successfully,Teamnaam succesvol bijgewerkt
Search teams...,Teams zoeken...
My Teams,Mijn teams
Other Teams,Andere teams
No teams found,Geen teams gevonden
Add team,Team toevoegen
Create a new team,Nieuw team aanmaken
Add a new team to collaborate with others.,Voeg een nieuw team toe om samen te werken.
Team name,Teamnaam
Creating...,Aanmaken...
Create team,Team aanmaken
Edit team name,Teamnaam bewerken
Update the name of "{0}".,Wijzig de naam van "{0}".
Updating...,Bijwerken...
Update team,Team bijwerken
Create Team,Team aanmaken
Add a new team to get started.,Voeg een nieuw team toe om te beginnen.
No results.,Geen resultaten.
Account,Account
Dashboard,Dashboard
Manage your account settings,Beheer je accountinstellingen
Profile,Profiel
Your personal information,Je persoonlijke gegevens
Language,Taal
Select a language,Selecteer een taal
Profile updated,Profiel bijgewerkt
Failed to update profile,Profiel bijwerken mislukt
Update your password,Wijzig je wachtwoord
Current password,Huidig wachtwoord
Password must be at least 8 characters,Wachtwoord moet minimaal 8 tekens bevatten
Password changed successfully,Wachtwoord succesvol gewijzigd
Failed to change password,Wachtwoord wijzigen mislukt
Current password is incorrect,Huidig wachtwoord is onjuist
Best regards\,,Met vriendelijke groet\,
The Recommand Team,Het Recommand Team
Team name updated,Teamnaam bijgewerkt
Team Logo,Teamlogo
Upload Logo,Logo uploaden
Change Logo,Logo wijzigen
Remove,Verwijderen
Logo uploaded successfully,Logo succesvol geüpload
Failed to upload logo,Logo uploaden mislukt
Logo removed successfully,Logo succesvol verwijderd
Failed to remove logo,Logo verwijderen mislukt
File storage is not enabled,Bestandsopslag is niet ingeschakeld
No logo file provided,Geen logobestand opgegeven
Invalid file type. Allowed: PNG\, JPEG\, WebP\, SVG,Ongeldig bestandstype. Toegestaan: PNG\, JPEG\, WebP\, SVG
File too large. Maximum size is 2MB,Bestand te groot. Maximale grootte is 2MB
I agree to the,Ik ga akkoord met de
Terms of Use,Gebruiksvoorwaarden
Privacy Policy,Privacybeleid
and,en
You must accept the terms to continue,Je moet de voorwaarden accepteren om door te gaan
{0} #{1},{0} #{1}
{0} actions,{0} acties
{0} of {1} rows selected.,{0} van {1} rijen geselecteerd.
{0} selected,{0} geselecteerd
Action,Actie
Action type,Actietype
Actions,Acties
Add condition,Voorwaarde toevoegen
Add email,E-mailadres toevoegen
Add webhook,Webhook toevoegen
All action types,Alle actietypen
All event types,Alle gebeurtenistypen
All supported webhook events,Alle ondersteunde webhookgebeurtenissen
Are you sure you want to delete this rule? This action cannot be undone.,Weet je zeker dat je deze regel wilt verwijderen? Dit kan niet ongedaan worden gemaakt.
Array member,Array-element
Ascending,Oplopend
Attachments,Bijlagen
Attempts,Pogingen
Basic,Basis
Breadcrumb,Broodkruimelnavigatie
Carousel,Carrousel
Čeština,Tsjechisch
Choose what should happen when this rule matches.,Kies wat er moet gebeuren wanneer aan deze regel wordt voldaan.
Choose when this rule should run and what it should do.,Kies wanneer deze regel moet worden uitgevoerd en wat de regel moet doen.
Clear filters,Filters wissen
Comma or newline separated email addresses,Door komma's of nieuwe regels gescheiden e-mailadressen
Comma-separated ISO dates,Door komma's gescheiden ISO-datums
Comma-separated numbers,Door komma's gescheiden cijfers
Comma-separated values,Door komma's gescheiden waarden
Command Palette,Opdrachtpalet
Conditions,Voorwaarden
Contains,Bevat
Copy rule ID,Kopieer regel-ID
Could not create API key: {0},Kan API-sleutel niet maken: {0}
Create a rule to send webhooks or trigger email automations when supported events happen.,Maak een regel om webhooks te verzenden of automatische e-mails te activeren wanneer ondersteunde gebeurtenissen plaatsvinden.
Create rule,Regel aanmaken
Dansk,Deens
Dark mode,Donkere modus
Delete rule,Regel verwijderen
Delivery failed,Levering mislukt
Delivery health,Leveringsstatus
Delivery in progress,Levering wordt uitgevoerd
Delivery queued,Levering in wachtrij
Descending,Aflopend
Deutsch,Duits
Disabled,Uitgeschakeld
Displays the mobile sidebar.,Geeft de mobiele zijbalk weer.
Does not exist,Bestaat niet
Doesn't equal,Is niet gelijk aan
Edit rule,Regel bewerken
Email action,E-mailactie
Enabled,Ingeschakeld
Enabled and disabled,In- en uitgeschakeld
English,Engels
Equals,Is gelijk aan
Español,Spaans
Event type,Type gebeurtenis
Exists,Bestaat
Failed,Mislukt
Failed to delete rule,Regel verwijderen mislukt
Failed to delete team. {0},Het team kon niet worden verwijderd. {0}
Failed to load deliveries,Leveringen konden niet worden geladen
Failed to load rules and event metadata,Regels en gebeurtenismetadata konden niet worden geladen
Failed to requeue delivery,Levering kon niet opnieuw in de wachtrij worden geplaatst
Failed to save rule,Regel opslaan mislukt
Failed to update team name: {0},Kan teamnaam niet bijwerken: {0}
False,Nee
Français,Frans
Giving up,Definitief mislukt
Global permissions,Globale rechten
Go to first page,Ga naar de eerste pagina
Go to last page,Ga naar de laatste pagina
Go to next page,Ga naar de volgende pagina
Go to previous page,Ga naar de vorige pagina
Hide,Verbergen
Hide password,Wachtwoord verbergen
ID,ID
In flight,Wordt verwerkt
Invalid token,Ongeldig token
Is not one of,Is niet een van
Is one of,Is een van
ISO date,ISO-datum
Italiano,Italiaans
Last delivery succeeded,Laatste levering gelukt
Last error,Laatste fout
Light mode,Lichtmodus
Loading rules...,Regels laden...
Logo,Logo
Magyar,Hongaars
Manage Team,Team beheren
Manage the team and its members,Het team en de teamleden beheren
More,Meer
More pages,Meer pagina’s
N/A,N.v.t.
Narrow this rule to only the events you care about.,Beperk deze regel tot de gebeurtenissen die voor jou relevant zijn.
Nederlands,Nederlands
Next,Volgende
Next slide,Volgende dia
No actions,Geen acties
No conditions yet. This rule will run for every event of the selected type.,Nog geen voorwaarden. Deze regel geldt voor elke gebeurtenis van het geselecteerde type.
No deliveries yet,Nog geen leveringen
No deliveries yet.,Nog geen leveringen.
No global permissions are available to manage.,Er zijn geen globale rechten om te beheren.
No options available.,Geen opties beschikbaar.
No options found.,Geen opties gevonden.
No results found.,Geen resultaten gevonden.
No webhooks or rules yet,Nog geen webhooks of regels
Norsk bokmål,Noors (Bokmål)
Number,Nummer
One matched rule with two actions produces two delivery rows.,Eén overeenkomende regel met twee acties levert twee leveringsregels op.
Optional,Optioneel
Page {0} of {1},Pagina {0} van {1}
Pagination,Paginering
Password input,Wachtwoordinvoer
Pending,In afwachting
Pick a date,Kies een datum
Polski,Pools
Português,Portugees
Previous,Vorige
Previous slide,Vorige dia
Processed,Verwerkt
Recipients,Ontvangers
Recommand Logo,Recommand-logo
Redeliver,Opnieuw leveren
Remove action,Actie verwijderen
Remove condition,Voorwaarde verwijderen
Reset,Opnieuw instellen
Retry,Opnieuw proberen
Retry scheduled,Nieuwe poging gepland
Română,Roemeens
Rows per page,Rijen per pagina
Rule created successfully,Regel is succesvol aangemaakt
Rule deleted successfully,Regel succesvol verwijderd
Rule deliveries,Regelleveringen
Rule ID copied to clipboard,Regel-ID gekopieerd naar klembord
Rule name,Regelnaam
Rule updated successfully,Regel succesvol bijgewerkt
Save rule,Regel opslaan
Search {0}...,Zoek {0}...
Search for a command to run...,Zoek naar een opdracht om uit te voeren...
Search rules,Regels zoeken
Search...,Zoeken...
Select {0},Selecteer {0}
Select an option...,Selecteer een optie...
Select event type,Selecteer gebeurtenistype
Select value,Waarde selecteren
Select values,Waarden selecteren
Select which permissions this team member should have within {0}.,Selecteer welke rechten dit teamlid binnen {0} moet hebben.
Show password,Wachtwoord weergeven
Showing {0} - {1} of {2},{0}–{1} van {2} weergegeven
Sidebar,Zijbalk
Signing secret,Signing secret
Slide,Dia
Status,Status
Succeeded,Geslaagd
Suomi,Fins
Svenska,Zweeds
Target URL,Doel-URL
Team permissions,Teamrechten
These permissions apply to this user across all teams. Only administrators can manage them.,Deze rechten gelden voor deze gebruiker in alle teams. Alleen beheerders kunnen ze beheren.
this team,dit team
Toggle columns,Kolommen tonen of verbergen
Toggle Sidebar,Zijbalk in-/uitschakelen
Trigger,Trigger
Triggered by,Geactiveerd door
True,Ja
True or false,Ja of nee
Türkçe,Turks
Unknown error,Onbekende fout
Updated,Bijgewerkt
Value,Waarde
Columns,Kolommen
View deliveries,Leveringen bekijken
Webhook,Webhook
Webhook action,Webhook-actie
Webhooks and rules,Webhooks en regels
Русский,Russisch
Українська,Oekraïens
العربية,Arabisch
한국어,Koreaans
中文,Chinees
日本語,Japans
Hello\,,Hallo\,
Unsupported language,Niet-ondersteunde taal
