Login,Connexion
Your confirmation link may have expired or been used already.,Votre lien de confirmation a peut-être expiré ou a déjà été utilisé.
Create New Account,Créer un nouveau compte
Try Logging In,Essayer de se connecter
Invalid Link,Lien invalide
The confirmation link appears to be invalid or missing.,Le lien de confirmation semble invalide ou manquant.
Go to Login,Aller à la connexion
Failed to load API keys,Échec du chargement des clés API
Please enter a valid name for the API key,Veuillez entrer un nom valide pour la clé API
Please enter a valid expiration duration,Veuillez entrer une durée d'expiration valide
API key created successfully,Clé API créée avec succès
Name,Nom
Type,Type
API Key,Clé API
API Key copied to clipboard,Clé API copiée dans le presse-papiers
Expires At,Expire le
Never,Jamais
Created At,Créé le
API key deleted successfully,Clé API supprimée avec succès
Failed to delete API key,Échec de la suppression de la clé API
User Settings,Paramètres utilisateur
API Key Creation Not Available,Création de clé API non disponible
API key creation is currently restricted for security reasons. When the JWT-based token flow with assertion is enabled\, keys can only be created via the API using a signed JWT assertion. Contact support if you have any questions.,La création de clés API est actuellement restreinte pour des raisons de sécurité. Lorsque le flux de jetons JWT avec assertion est activé\, les clés ne peuvent être créées que via l'API à l'aide d'une assertion JWT signée. Contactez le support si vous avez des questions.
New API Key Name,Nouveau nom de clé API
Basic Authentication,Authentification basique
JWT Token,Jeton JWT
Create API Key,Créer une clé API
API Key Expiration in,Expiration de la clé API dans
Hours,Heures
Days,Jours
Team ID,ID d'équipe
This is your unique team identifier,Ceci est votre identifiant d'équipe unique
Team ID copied to clipboard,ID d'équipe copié dans le presse-papiers
New API Key Created,Nouvelle clé API créée
Please save these credentials. They will only be shown once.,Veuillez sauvegarder ces identifiants. Ils ne seront affichés qu'une seule fois.
Secret,Secret
Secret copied to clipboard,Secret copié dans le presse-papiers
View Authorization Header,Voir l'en-tête d'autorisation
Authorization Header,En-tête d'autorisation
Authorization header copied to clipboard,En-tête d'autorisation copié dans le presse-papiers
JWT token copied to clipboard,Jeton JWT copié dans le presse-papiers
Failed to load team members,Échec du chargement des membres de l'équipe
Please enter a valid email address,Veuillez entrer une adresse e-mail valide
Team member added successfully,Membre de l'équipe ajouté avec succès
Failed to add team member,Échec de l'ajout du membre de l'équipe
No active team selected,Aucune équipe active sélectionnée
Failed to delete team,Échec de la suppression de l'équipe
User ID,ID utilisateur
User ID copied to clipboard,ID utilisateur copié dans le presse-papiers
Verified,Vérifié
Unverified,Non vérifié
Joined At,Rejoint le
Manage permissions,Gérer les permissions
Remove team member,Supprimer le membre de l'équipe
Team member removed successfully,Membre de l'équipe supprimé avec succès
Failed to remove team member,Échec de la suppression du membre de l'équipe
Delete Team,Supprimer l'équipe
Are you sure you want to delete the team "{0}"? This action cannot be undone. All team members\, API keys\, and associated data will be permanently removed.,Êtes-vous sûr de vouloir supprimer l'équipe « {0} » ? Cette action est irréversible. Tous les membres\, clés API et données associées seront définitivement supprimés.
Deleting...,Suppression...
Email address to invite,Adresse e-mail à inviter
Inviting...,Invitation...
Invite Member,Inviter un membre
Team Name,Nom de l'équipe
Team name copied to clipboard,Nom de l'équipe copié dans le presse-papiers
Failed to load permissions data,Échec du chargement des données de permissions
Permission revoked,Permission révoquée
Permission granted,Permission accordée
Failed to update permission,Échec de la mise à jour de la permission
Member Permissions,Permissions du membre
Permissions for {0},Permissions pour {0}
Manage what this team member is allowed to do. Toggle permissions on or off instantly.,Gérez ce que ce membre de l'équipe est autorisé à faire. Activez ou désactivez les permissions instantanément.
Permissions,Permissions
Select which permissions this team member should have,Sélectionnez les permissions que ce membre de l'équipe doit avoir
No permissions are available to manage.,Aucune permission disponible à gérer.
You don't have permission to grant or revoke this permission.,Vous n'avez pas la permission d'accorder ou de révoquer cette permission.
You must be in a team to complete this step,Vous devez être dans une équipe pour compléter cette étape
Failed to complete step,Échec de l'étape
Continue,Continuer
Please enter a team name,Veuillez entrer un nom d'équipe
Team created successfully,Équipe créée avec succès
Failed to create team,Échec de la création de l'équipe
Team name updated successfully,Nom de l'équipe mis à jour avec succès
Failed to update team name,Échec de la mise à jour du nom de l'équipe
Search teams...,Rechercher des équipes...
My Teams,Mes équipes
Other Teams,Autres équipes
No teams found,Aucune équipe trouvée
Add team,Ajouter une équipe
Create a new team,Créer une nouvelle équipe
Add a new team to collaborate with others.,Ajoutez une nouvelle équipe pour collaborer avec d'autres.
Team name,Nom de l'équipe
Creating...,Création...
Create team,Créer l'équipe
Edit team name,Modifier le nom de l'équipe
Update the name of "{0}".,Modifier le nom de « {0} ».
Updating...,Mise à jour...
Update team,Mettre à jour l'équipe
Create Team,Créer une équipe
Add a new team to get started.,Ajoutez une nouvelle équipe pour commencer.
No results.,Aucun résultat.
Account,Compte
Dashboard,Tableau de bord
Manage your account settings,Gérez les paramètres de votre compte
Profile,Profil
Your personal information,Vos informations personnelles
Language,Langue
Select a language,Sélectionnez une langue
Profile updated,Profil mis à jour
Failed to update profile,Échec de la mise à jour du profil
Update your password,Mettre à jour votre mot de passe
Current password,Mot de passe actuel
Password must be at least 8 characters,Le mot de passe doit contenir au moins 8 caractères
Password changed successfully,Mot de passe modifié avec succès
Failed to change password,Échec du changement de mot de passe
Current password is incorrect,Le mot de passe actuel est incorrect
Best regards\,,Cordialement\,
The Recommand Team,L'équipe Recommand
Team name updated,Nom de l'équipe mis à jour
Team Logo,Logo de l'équipe
Upload Logo,Télécharger le logo
Change Logo,Changer le logo
Remove,Supprimer
Logo uploaded successfully,Logo téléchargé avec succès
Failed to upload logo,Échec du téléchargement du logo
Logo removed successfully,Logo supprimé avec succès
Failed to remove logo,Échec de la suppression du logo
File storage is not enabled,Le stockage de fichiers n'est pas activé
No logo file provided,Aucun fichier de logo fourni
Invalid file type. Allowed: PNG\, JPEG\, WebP\, SVG,Type de fichier invalide. Autorisé : PNG\, JPEG\, WebP\, SVG
File too large. Maximum size is 2MB,Fichier trop volumineux. Taille maximale : 2 Mo
I agree to the,J'accepte les
Terms of Use,Conditions d'utilisation
Privacy Policy,Politique de confidentialité
and,et
You must accept the terms to continue,Vous devez accepter les conditions pour continuer
